activity,adm3_pcode,ward,individuals_sum,individuals_max,population,affected,sum_pc_population,max_pc_population
Major maintenance of water supply system for immediate water supply maintenance of water supply system for immediate water supply,NP0328301,7,0,0,4032,1,0,0
Major maintenance of water supply system for immediate water supply maintenance of water supply system for immediate water supply,NP0328301,10,0,0,3433,1,0,0
Mental Health and Psychosocial Support (MHPSS) : Capacity building of frontline service providers and community psychosocial workers,NP0328301,1,0,0,2951,1,0,0
Mental Health and Psychosocial Support (MHPSS) : Capacity building of frontline service providers and community psychosocial workers,NP0329404,2,24,24,2899,NA,0.008278716798896172,0.008278716798896172
Mental Health and Psychosocial Support (MHPSS) : Capacity building of frontline service providers and community psychosocial workers,NP0330407,4,19,19,2401,0,0.007913369429404415,0.007913369429404415
Mental Health and Psychosocial Support (MHPSS) : Capacity building of frontline service providers and community psychosocial workers,NP0330408,3,0,0,4532,1,0,0
Mental Health and Psychosocial Support (MHPSS) : Capacity building of frontline service providers and community psychosocial workers,NP0330408,5,0,0,3049,1,0,0
Mental Health and Psychosocial Support (MHPSS) : Capacity building of frontline service providers and community psychosocial workers,NP0330408,7,0,0,2886,1,0,0
Mental Health and Psychosocial Support (MHPSS) : Capacity building of frontline service providers and community psychosocial workers,NP0330408,9,21,21,3438,1,0.006108202443280977,0.006108202443280977
Mental Health and Psychosocial Support (MHPSS) : Capacity building of frontline service providers and community psychosocial workers,NP0330410,4,32,32,3222,1,0.009931719428926133,0.009931719428926133
Mental Health and Psychosocial Support (MHPSS) : Capacity building of frontline service providers and community psychosocial workers,NP0330410,6,37,33,2691,1,0.013749535488665924,0.012263099219620958
Mental Health and Psychosocial Support (MHPSS) : Capacity building of frontline service providers and community psychosocial workers,NP0330410,8,0,0,2964,1,0,0
Mental Health and Psychosocial Support (MHPSS) : Community sensitization on psychosocial well-being and link to services,NP0328301,4,0,0,7076,1,0,0
Mental Health and Psychosocial Support (MHPSS) : Community sensitization on psychosocial well-being and link to services,NP0328301,9,0,0,7591,1,0,0
Mental Health and Psychosocial Support (MHPSS) : Community sensitization on psychosocial well-being and link to services,NP0328301,10,0,0,3433,1,0,0
Mental Health and Psychosocial Support (MHPSS) : Community sensitization on psychosocial well-being and link to services,NP0328302,7,0,0,4530,1,0,0
Mental Health and Psychosocial Support (MHPSS) : Community sensitization on psychosocial well-being and link to services,NP0328403,4,0,0,2157,1,0,0
Mental Health and Psychosocial Support (MHPSS) : Community sensitization on psychosocial well-being and link to services,NP0329403,1,0,0,1165,1,0,0
Mental Health and Psychosocial Support (MHPSS) : Community sensitization on psychosocial well-being and link to services,NP0329404,1,0,0,2493,1,0,0
Mental Health and Psychosocial Support (MHPSS) : Community sensitization on psychosocial well-being and link to services,NP0330408,10,0,0,4652,1,0,0
Mental Health and Psychosocial Support (MHPSS) : Community sensitization on psychosocial well-being and link to services,NP0330409,2,0,0,4076,1,0,0
Mental Health and Psychosocial Support (MHPSS) : Community sensitization on psychosocial well-being and link to services,NP0330409,6,0,0,4625,1,0,0
Mental Health and Psychosocial Support (MHPSS) : Community sensitization on psychosocial well-being and link to services,NP0330410,4,0,0,3222,1,0,0
Mental Health and Psychosocial Support (MHPSS) : PSA messaging on MHPSS,NP0328302,7,349,349,4530,1,0.07704194260485651,0.07704194260485651
Mental Health and Psychosocial Support (MHPSS) : PSA messaging on MHPSS,NP0328302,8,0,0,2817,1,0,0
Mental Health and Psychosocial Support (MHPSS) : PSA messaging on MHPSS,NP0329403,5,2,2,2836,1,7.052186177715092e-4,7.052186177715092e-4
Mental Health and Psychosocial Support (MHPSS) : PSA messaging on MHPSS,NP0330407,6,0,0,2700,1,0,0
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0327101,12,44,44,10956,NA,0.004016064257028112,0.004016064257028112
